phi_deg,RCS_th_dBsm,RCS_ph_dBsm
36,122.871580282047,7.05135548289659
36.5,122.753700965757,6.87792387175761
37,122.478299869809,6.54594853101078
37.5,122.02701463422,6.03705495754664
38,121.37159789545,5.32298380679857
38.5,120.468329923259,4.3600040682594
39,119.246917290055,3.07781294505615
39.5,117.586139865087,1.35518596952093
40,115.251601723312,-1.04226230183108
40.5,111.691901065344,-4.66586626270446
41,104.949073359177,-11.4731154942323
41.5,91.9601989721945,-24.5373305099786
42,108.323508734158,-8.23550810821667
42.5,113.657325503149,-2.97002287680609
43,116.875520311406,0.178302659606792
43.5,119.120921472571,2.35250746356912
44,120.781466202935,3.94056089408435
44.5,122.033782625738,5.11908855686295
45,122.970699671786,5.9809058433502
45.5,123.644278446303,6.57805558854989
46,124.083410999732,6.93940901847116
46.5,124.301694584745,7.07854090992114
47,124.30074836592,6.99704674803876
47.5,124.070753483915,6.68508308630158
48,123.588486189183,6.11940099069544
48.5,122.811853331593,5.25788204208088
49,121.66771461582,4.02736171156721
49.5,120.02368586511,2.29543558750962
50,117.612704195865,-0.20496569487858
50.5,113.769202217679,-4.13935658482515
51,105.77727619872,-12.2230512238508
51.5,101.084746585936,-17.0144835060179
52,112.602138341714,-5.59115209154809
52.5,117.34231703558,-0.948539303729078
53,120.280095979214,1.88969828369705
53.5,122.318703907114,3.82687919138059
54,123.786324735864,5.19117766982681
54.5,124.835253045866,6.13485588799122
55,125.543847601023,6.73623160471394
55.5,125.951968535896,7.03511931431698
56,126.074967885666,7.04682218603803
56.5,125.908483996888,6.76692711064562
57,125.427422144888,6.17028577822607
57.5,124.578450707754,5.20351153561029
58,123.260410629014,3.76539048025973
58.5,121.27337543217,1.65594647806952
59,118.158823868457,-1.5833658339068
59.5,112.443069305826,-7.42608825302498
60,32.5757235597934,-100
60.5,112.750261957111,-7.38319863668519
61,118.767591166526,-1.50078016722332
61.5,122.178066445821,1.77168286294741
62,124.451412699224,3.9040398761819
62.5,126.041957219077,5.35056551370815
63,127.144572473463,6.30604563812123
63.5,127.85393441234,6.86505579451411
64,128.214577771807,7.07202128243757
64.5,128.238936950212,6.93925940298034
65,127.911907608875,6.45154149629485
65.5,127.18575720425,5.56100381917198
66,125.961113876367,4.16813749088976
66.5,124.034234576234,2.06906066438603
67,120.927183767001,-1.214284505386
67.5,115.056738024981,-7.26508928706898
68,89.4974452688946,-33.0255929600169
68.5,116.297125402704,-6.40144532242242
69,122.135061717117,-0.758080699327836
69.5,125.487324621007,2.39423356016002
70,127.72224294334,4.42375048355313
70.5,129.271937850565,5.76236472591917
71,130.321581026793,6.59497821130416
71.5,130.958410454572,7.00853006728691
72,131.218303122991,7.03857111296924
72.5,131.100973154033,6.68446078240598
73,130.56993752108,5.90933066440892
73.5,129.53722481769,4.62479103282937
74,127.816589176827,2.64414422969729
74.5,124.973733545886,-0.467382711284739
75,119.632091240869,-6.08676620891646
75.5,92.6646723791012,-33.3284263584008
76,119.468827683524,-6.83771879453409
76.5,125.818074129567,-0.797917086052601
77,129.407742243178,2.46992775417386
77.5,131.80939857485,4.53662380909909
78,133.495692644167,5.87380499862765
78.5,134.664695486287,6.67836985278985
79,135.407895924223,7.04047042871906
79.5,135.760931533745,6.99421802807795
80,135.718996742707,6.53305629687353
80.5,135.234268536677,5.60714207786833
81,134.192669539036,4.10005191081713
81.5,132.341379297691,1.75622359072515
82,129.027730901359,-2.08022033726468
82.5,121.560028473535,-10.1045268757287
83,117.241646036876,-15.021408869212
83.5,129.285059580993,-3.61755446751321
84,134.506023588932,0.911110191769286
84.5,137.925192686896,3.57712575543249
85,140.456698302156,5.28314238197549
85.5,142.438163325753,6.35158794641147
86,144.032286439975,6.92456385376698
86.5,145.329896027742,7.06401441275805
87,146.386595443045,6.78323730070995
87.5,147.238525632129,6.05278396775159
88,147.910056978626,4.78714278048605
88.5,148.417885948209,2.7970198010363
89,148.773342202244,-0.368706089360802
89.5,148.983659347586,-6.1784009054489
90,152.575720665876,-100
